VariableCode,RegionCode,YearCode,AggValue
rtfpna,BGR,2010,0.97051554918289200
labsh,BGR,2010,0.48066189885139500
emp,BGR,2011,3.13699650764465000
avh,BGR,2011,1643.59279908073000000
hc,BGR,2011,3.09415435791016000
rgdpna,BGR,2011,121315.72656250000000000
rkna,BGR,2011,0.84100735187530500
rtfpna,BGR,2011,0.99175870418548600
labsh,BGR,2011,0.46807509660720800
emp,BGR,2012,3.10398888587952000
avh,BGR,2012,1644.44984416786000000
hc,BGR,2012,3.10549068450928000
rgdpna,BGR,2012,121753.16406250000000000
rkna,BGR,2012,0.86694157123565700
rtfpna,BGR,2012,0.98254960775375400
labsh,BGR,2012,0.48066729307174700
emp,BGR,2013,3.10494136810303000
avh,BGR,2013,1644.97951238901000000
hc,BGR,2013,3.11686825752258000
rgdpna,BGR,2013,122141.21875000000000000
rkna,BGR,2013,0.89298009872436500
rtfpna,BGR,2013,0.96904772520065300
labsh,BGR,2013,0.51302194595336900
emp,BGR,2014,3.15413546562195000
avh,BGR,2014,1644.05897203691000000
hc,BGR,2014,3.12828779220581000
rgdpna,BGR,2014,124455.18750000000000000
rkna,BGR,2014,0.92236393690109300
rtfpna,BGR,2014,0.96267563104629500
labsh,BGR,2014,0.52106600999832200
emp,BGR,2015,3.20756101608276000
avh,BGR,2015,1644.38528122198000000
hc,BGR,2015,3.13974881172180000
rgdpna,BGR,2015,129420.38281250000000000
rkna,BGR,2015,0.95285803079605100
rtfpna,BGR,2015,0.97501051425933800
labsh,BGR,2015,0.51271337270736700
emp,BGR,2016,3.19158649444580000
avh,BGR,2016,1643.54743239927000000
hc,BGR,2016,3.15125203132629000
rgdpna,BGR,2016,134353.39062500000000000
rkna,BGR,2016,0.97446054220199600
rtfpna,BGR,2016,1.00225210189819000
labsh,BGR,2016,0.52316421270370500
emp,BGR,2017,3.33282136917114000
avh,BGR,2017,1643.25811621541000000
hc,BGR,2017,3.16279745101929000
rgdpna,BGR,2017,139064.67187500000000000
rkna,BGR,2017,1.00000000000000000
rtfpna,BGR,2017,1.00000000000000000
labsh,BGR,2017,0.51398545503616300
emp,BGR,2018,3.33536028862000000
avh,BGR,2018,1644.57156324894000000
hc,BGR,2018,3.17438507080078000
rgdpna,BGR,2018,143353.62500000000000000
rkna,BGR,2018,1.02893674373627000
rtfpna,BGR,2018,1.01408731937408000
labsh,BGR,2018,0.52765876054763800
emp,BGR,2019,3.42041850090027000
avh,BGR,2019,1645.24646392610000000
hc,BGR,2019,3.18601512908936000
rgdpna,BGR,2019,148186.92187500000000000
rkna,BGR,2019,1.05830991268158000
rtfpna,BGR,2019,1.01859080791473000
labsh,BGR,2019,0.52765876054763800
emp,BHS,2010,0.16845510900020600
rgdpna,BHS,2010,11423.20117187500000000
rkna,BHS,2010,0.81380844116210900
labsh,BHS,2010,0.39721027016639700
emp,BHS,2011,0.17226724326610600
rgdpna,BHS,2011,11493.26855468750000000
rkna,BHS,2011,0.83021879196167000
labsh,BHS,2011,0.39721027016639700
emp,BHS,2012,0.17674167454242700
emp,CHE,2010,4.38947868347168000
avh,CHE,2010,1624.34638188442000000
hc,CHE,2010,3.63487243652344000
rgdpna,CHE,2010,548989.18750000000000000
rkna,CHE,2010,0.88781738281250000
rtfpna,CHE,2010,0.97654610872268700
labsh,CHE,2010,0.66281348466873200
emp,CHE,2011,4.50938940048218000
avh,CHE,2011,1619.31691282911000000
hc,CHE,2011,3.64234471321106000
rgdpna,CHE,2011,559532.18750000000000000
rkna,CHE,2011,0.89895480871200600
rtfpna,CHE,2011,0.97418946027755700
labsh,CHE,2011,0.67255306243896500
emp,CHE,2012,4.59778165817261000
avh,CHE,2012,1603.23136892460000000
hc,CHE,2012,3.64983224868774000
rgdpna,CHE,2012,566342.81250000000000000
rkna,CHE,2012,0.91663533449173000
rtfpna,CHE,2012,0.97227400541305500
labsh,CHE,2012,0.68096220493316700
emp,CHE,2013,4.66059017181396000
avh,CHE,2013,1582.89237113925000000
hc,CHE,2013,3.65733528137207000
rgdpna,CHE,2013,576659.68750000000000000
rkna,CHE,2013,0.93322592973709100
rtfpna,CHE,2013,0.98244965076446500
labsh,CHE,2013,0.68429803848266600
emp,CHE,2014,4.74658966064453000
avh,CHE,2014,1575.32149723038000000
hc,CHE,2014,3.66485381126404000
rgdpna,CHE,2014,590769.62500000000000000
rkna,CHE,2014,0.94792062044143700
rtfpna,CHE,2014,0.99094015359878500
labsh,CHE,2014,0.68291813135147100
emp,CHE,2015,4.81649732589722000
avh,CHE,2015,1589.47508202482000000
hc,CHE,2015,3.67238759994507000
rgdpna,CHE,2015,600563.25000000000000000
rkna,CHE,2015,0.96283906698226900
rtfpna,CHE,2015,0.98497903347015400
labsh,CHE,2015,0.68867427110672000
emp,CHE,2016,4.87880563735962000
avh,CHE,2016,1590.22666228750000000
hc,CHE,2016,3.67993688583374000
rgdpna,CHE,2016,612845.93750000000000000
rkna,CHE,2016,0.97971057891845700
rtfpna,CHE,2016,0.98916983604431200
rgdpna,AIA,2010,204.06053161621100000
rgdpna,AIA,2011,211.23046875000000000
rgdpna,AIA,2012,199.04821777343800000
rgdpna,AIA,2013,197.73817443847700000
rgdpna,AIA,2014,207.75527954101600000
rgdpna,AIA,2015,214.29371643066400000
rgdpna,AIA,2016,208.86839294433600000
rgdpna,AIA,2017,195.63452148437500000
rgdpna,AIA,2018,212.01066589355500000
rgdpna,AIA,2019,223.45671081543000000
emp,ALB,2010,0.89081835746765100
hc,ALB,2010,2.90407800674438000
rgdpna,ALB,2010,29844.17968750000000000
emp,ALB,2011,0.90319764614105200
hc,ALB,2011,2.91069340705872000
rgdpna,ALB,2011,30603.84375000000000000
emp,ALB,2012,0.92919600009918200
hc,ALB,2012,2.91734623908997000
rgdpna,ALB,2012,31037.57226562500000000
emp,ALB,2013,0.88255733251571700
hc,ALB,2013,2.92403697967529000
rgdpna,ALB,2013,31348.56445312500000000
emp,ALB,2014,0.88570648431778000
hc,ALB,2014,2.93076586723328000
rgdpna,ALB,2014,31904.84179687500000000
emp,ALB,2015,0.92639529705047600
hc,ALB,2015,2.93753337860107000
rgdpna,ALB,2015,32612.73046875000000000
